Country	Date	Type	Population (million)
The Netherlands	1/4/2001	Freedom to Mary	16.8
Belgium	1/6/2003	Freedom to Mary	11.2
Spain	3/7/2005	Freedom to Mary	47.3
Canada	20/7/2005	Freedom to Mary	35.3
South Africa	30/11/2006	Freedom to Mary	51.2
Norway	1/1/2009	Freedom to Mary	5.02
Sweden	1/5/2009	Freedom to Mary	9.6
Portugal	5/6/2010	Freedom to Mary	10.7
Iceland	27/6/2010	Freedom to Mary	0.34
Argentina	22/7/2010	Freedom to Mary	41.8
Denmark	15/6/2012	Freedom to Mary	1.65
Brazil	14/5/2013	Freedom to Mary	202
France	29/5/2013	Freedom to Mary	64.1
Uruguay	5/8/2013	Freedom to Mary	3.42
New Zealand	19/8/2013	Freedom to Mary	4.55
United Kingdom	31/12/2014	Freedom to Mary	63.6
Luxembourg	18/6/2014	Freedom to Mary	0.54
Finland	28/11/2014	Freedom to Mary	5.43
Ireland	23/5/2015	Freedom to Mary	4.68
United States	26/6/2015	Freedom to Mary	322
Mexico		Regional Freedom to Mary	119
Slovenia		Some Protections	2.05
Australia		Some Protections	23.5
Colombia		Some Protections	48.8